MORBEGNO;01425;830001425
TALAMONA;01426;830001426
ARDENNO-MASINO;01427;830001427
S. PIETRO-BERBENNO;01428;830001428
CASTIONE ANDEVENNO;01429;830001429
SONDRIO;01430;830001430
POGGIRIDENTI-TRESIVIO-PIATEDA;01433;830001433
PONTE IN VALTELLINA;01434;830001434
CHIURO;01435;830001435
S. GIACOMO DI TEGLIO;01436;830001436
TRESENDA-APRICA-TEGLIO;01437;830001437
BIANZONE;01438;830001438
VILLA DI TIRANO;01439;830001439
TIRANO;01440;830001440
ALBATE TRECALLO;01450;830001450
CANTU;01451;830001451
BRENNA-ALZATE;01452;830001452
ANZANO DEL PARCO;01453;830001453
MERONE;01454;830001454
MOIANA;01456;830001456
CASLETTO-ROGENO;01457;830001457
MOLTENO;01458;830001458
OGGIONO;01460;830001460
SALA AL BARRO-GALBIATE;01461;830001461
CIVATE;01462;830001462
VALMADRERA;01463;830001463
MONZA SOBBORGHI;01480;830001480
VILLASANTA;01481;830001481
BUTTAFAVA;01482;830001482
BIASSONO-LESMO;01483;830001483
MACHERIO-CANONICA;01484;830001484
TRIUGGIO-PONTE ALBIATE;01485;830001485
CARATE-CALO';01486;830001486
VILLA RAVERIO;01487;830001487
BESANA;01488;830001488
RENATE-VEDUGGIO;01489;830001489
CASSAGO-NIBIONNO-BULCIAGO;01490;830001490
COSTA MASNAGA;01491;830001491
MACHERIO-SOVICO;01500;830001500
LESMO;01501;830001501
PADERNO-ROBBIATE;01502;830001502
CALUSCO;01503;830001503
TERNO;01504;830001504
ARCORE;01510;830001510
CARNATE-USMATE;01511;830001511
OSNAGO;01512;830001512
CERNUSCO-MERATE;01513;830001513
OLGIATE-CALCO-BRIVIO;01514;830001514
AIRUNO;01515;830001515
LECCO;01520;830001520
LECCO MAGGIANICO;01522;830001522
VERCURAGO-S. GIROLAMO;01523;830001523
CALOLZIOCORTE-OLGINATE;01524;830001524
CISANO-CAPRINO BERGAMASCO;01525;830001525
PONTIDA;01526;830001526
AMBIVERE-MAPELLO;01527;830001527
PONTE S. PIETRO;01528;830001528
BERGAMO;01529;830001529
SERIATE;01533;830001533
ALBANO S. ALESSANDRO;01534;830001534
MONTELLO-GORLAGO;01535;830001535
CHIUDUNO;01536;830001536
GRUMELLO DEL MONTE;01537;830001537
PALAZZOLO SULL'OGLIO;01538;830001538
COLOGNE;01539;830001539
COCCAGLIO;01540;830001540
VERDELLO-DALMINE;01600;830001600
TREVIGLIO OVEST;01601;830001601
CARAVAGGIO;01602;830001602
CAPRALBA;01603;830001603
CASALETTO VAPRIO;01604;830001604
CREMA;01605;830001605
CASTELLEONE;01606;830001606
SORESINA;01607;830001607
ARCENE;01608;830001608
CASALBUTTANO;01609;830001609
MADIGNANO;01610;830001610
LEVATE;01611;830001611
STEZZANO;01612;830001612
PARATICO SARNICO;01620;830001620
CAPRIOLO;01622;830001622
MILANO S. CRISTOFORO;01630;830001630
MILANO PORTA GENOVA;01631;830001631
MILANO PORTA ROMANA;01632;830001632
MILANO PORTA VITTORIA;01633;830001633
MILANO CERTOSA;01640;830001640
MILANO BOVISA POLITECNICO;01642;830001642
MILANO PORTA GARIBALDI;01645;830001645
MILANO ( TUTTE LE STAZIONI );01650;830001650
MILANO LANCETTI;01661;830001661
MILANO PORTA GARIBALDI PASSANTE;01662;830001662
MILANO REPUBBLICA;01663;830001663
MILANO PORTA VENEZIA;01664;830001664
MILANO DATEO;01665;830001665
MILANO VILLAPIZZONE;01666;830001666
MILANO CENTRALE;01700;830001700
MILANO LAMBRATE;01701;830001701
PIOLTELLO-LIMITO;01703;830001703
VIGNATE;01704;830001704
MELZO;01705;830001705
TRECELLA;01706;830001706
CASSANO D'ADDA;01707;830001707
TREVIGLIO;01708;830001708
VIDALENGO;01709;830001709
MORENGO-BARIANO;01710;830001710
ROMANO;01711;830001711
CALCIO;01712;830001712
CHIARI;01713;830001713
ROVATO;01714;830001714
SEGRATE;01715;830001715
OSPITALETTO-TRAVAGLIATO;01716;830001716
BRESCIA;01717;830001717
POZZUOLO MARTESANA;01722;830001722
CESANO MADERNO GROANE;01798;830001798
LOCATE TRIULZI;01801;830001801
VILLAMAGGIORE;01802;830001802
CERTOSA DI PAVIA;01803;830001803
S.MARTINO-CAVA;01804;830001804
BRESSANA BOTTARONE;01805;830001805
LUNGAVILLA;01806;830001806
VOGHERA;01807;830001807
PONTECURONE;01809;830001809
TORTONA;01810;830001810
GRAVELLONE TRANSITO;01811;830001811
MILANO ROGOREDO;01820;830001820
S. GIULIANO MILANESE;01821;830001821
MELEGNANO;01822;830001822
S. ZENONE AL LAMBRO;01823;830001823
TAVAZZANO;01824;830001824
LODI;01825;830001825
SECUGNAGO;01826;830001826
CASALPUSTERLENGO;01827;830001827
CODOGNO;01828;830001828
S. STEFANO LODIGIANO;01829;830001829
BORGO LOMBARDO;01830;830001830
SAN DONATO MILANESE;01831;830001831
MONTIRONE;01840;830001840
GHEDI;01841;830001841
VIADANA BRESCIANA;01842;830001842
CALVISANO;01843;830001843
VISANO;01844;830001844
REMEDELLO SOPRA;01845;830001845
REMEDELLO SOTTO;01846;830001846
ASOLA;01847;830001847
CANNETO SULL'OGLIO;01848;830001848
S. GIOVANNI IN CROCE;01849;830001849
CASALMAGGIORE;01850;830001850
MEZZANI-RONDANI;01851;830001851
COLORNO;01852;830001852
TORRILE-S. POLO;01853;830001853
PAVIA;01860;830001860
PAVIA PORTA GARIBALDI;01861;830001861
MOTTA S. DAMIANO;01862;830001862
ALBUZZANO;01863;830001863
BELGIOIOSO;01864;830001864
CORTEOLONA;01865;830001865
S. CRISTINA E BISSONE;01866;830001866
MIRADOLO TERME;01867;830001867
CHIGNOLO PO;01868;830001868
LAMBRINIA;01869;830001869
ORIO LITTA;01870;830001870
OSPEDALETTO LODIGIANO;01871;830001871
S. ZENO-FOLZANO;01900;830001900
BAGNOLO MELLA;01901;830001901
MANERBIO;01902;830001902
VEROLANUOVA;01903;830001903
ROBECCO-PONTEVICO;01904;830001904
OLMENETA;01905;830001905
MALEO;01910;830001910
PIZZIGHETTONE GERA;01911;830001911
PIZZIGHETTONE-PONTE D'ADDA;01912;830001912
ACQUANEGRA CREMONESE;01913;830001913
CAVA TIGOZZI;01914;830001914
CREMONA;01915;830001915
VILLETTA-MALAGNINO;01916;830001916
GAZZO-PIEVE S. GIACOMO;01917;830001917
TORRE DE' PICENARDI;01918;830001918
PIADENA;01919;830001919
BOZZOLO;01920;830001920
MARCARIA;01921;830001921
OSPITALETTO MANTOVANO;01922;830001922
CASTELLUCCHIO;01923;830001923
S. MICHELE IN BOSCO;01924;830001924
CERIANO LAGHETTO GROANE;01927;830001927
SEVESO BARUCCANA;01929;830001929
BRESSANA ARGINE;01930;830001930
PINAROLO PO;01931;830001931
BARBIANELLO;01932;830001932
CERIANO LAGHETTO-SOLARO;01934;830001934
SPINETTA;01940;830001940
S. GIULIANO PIEMONTE;01941;830001941
CASTEGGIO;01942;830001942
S. GIULETTA;01943;830001943
BRONI;01944;830001944
STRADELLA;01945;830001945
ARENA PO;01947;830001947
CASTEL S. GIOVANNI;01948;830001948
SARMATO;01949;830001949
ROTTOFRENO;01950;830001950
S. NICOLO';01951;830001951
CASTELVETRO;01960;830001960
S. GIULIANO PIACENTINO;01961;830001961
VILLANOVA D'ARDA;01962;830001962
BUSSETO;01963;830001963
CASTIONE DEI MARCHESI;01964;830001964
CAORSO;01970;830001970
MONTICELLI D'ONGINA;01971;830001971
BRENNERO BRENNER;02001;830002001
TRENTO S. CHIARA;02003;830002003
COLLE ISARCO GOSSENSASS;02005;830002005
VIPITENO VAL VIZZE/STERZING PFITSCH;02006;830002006
CAMPO DI TRENS FREIENFELD;02007;830002007
FORTEZZA FRANZENSFESTE;02011;830002011
TRENTO S. BARTOLAMEO;02013;830002013
BRESSANONE BRIXEN;02014;830002014
S.LORENZO ST.LORENZEN;02016;830002016
CHIUSA KLAUSEN;02017;830002017
PERCA PLAN CORONES/PERCHA KRONPLATZ;02018;830002018
LEVATA;02019;830002019
PONTE GARDENA LAION/WAIDBRUCK LAJEN;02020;830002020
BORGOCHIESANUOVA;02021;830002021
